Task ID,Task Name,Description content,Task assignee,Priority,Status,Start date,Due date,List,Tags,Subtasks,Sprint Phase,Dependencies,Acceptance Criteria,Technical Notes
T-001,Freeze frontend-consumed API response contracts,"Document and freeze the exact response shapes for student enrollments, progress, streaks, and active bug-fix endpoints so frontend work can proceed without guessing. This removes silent rendering bugs caused by inconsistent payloads.",Zeyad,2,To Do,04/23/2026,04/23/2026,Backend Bug Fixes,"backend,contract,day-1,api","Audit current response shapes|Standardize final route shape|Publish success empty and error payloads|Share contract note with Jimmy and Mohamed|Provide stub payloads for unfinished routes","Day 1: Setup + Contracts + Mocks","None — can be done in parallel","[ ] Each targeted endpoint has a documented final response shape|[ ] Each route includes at least one sample payload|[ ] Empty-state and error-state payloads are defined|[ ] Jimmy can implement pages without waiting for live backend changes","APIs: /api/enrollments/student, /api/progress/overall, /api/progress/courses, /api/streaks/me. Modules: server/src/api/enrollment.routes.ts, server/src/api/progress.routes.ts. If final implementation is not ready, provide stub JSON with the final contract."
T-002,Freeze gamification API and shared type contracts,"Lock the gamification payload shapes for profile, badges, leaderboard, activity, admin settings, rules, and reports so frontend and testing work can proceed independently.",Mohamed,2,To Do,04/23/2026,04/23/2026,Gamification System,"gamification,contract,day-1,shared-types","Review current gamification routes and shared types|Finalize response shapes in shared types|Publish student and admin sample payloads|Define query keys and cache invalidation notes|Share contract pack with Jimmy and QA","Day 1: Setup + Contracts + Mocks","None — can be done in parallel","[ ] Shared gamification types reflect the intended API shape|[ ] Student and admin gamification sample payloads exist|[ ] Query keys and refresh behavior are documented|[ ] Jimmy can render gamification UI from samples without backend dependency","APIs: /api/gamification/me, /api/gamification/me/badges, /api/gamification/leaderboard, /api/gamification/activity, /api/admin/gamification/*. Files: shared/gamification.types.ts and gamification routes/services."
T-003,Define security error and middleware contract,"Create a stable contract for auth failures, rate-limit responses, and high-risk middleware behavior so backend and frontend teams know exactly how protected routes will behave this week.",Shady,2,To Do,04/23/2026,04/23/2026,Security Hardening,"security,contract,day-1,middleware","Audit auth session and rate-limit middleware behavior|Define standard error response shape|List top-risk routes following this contract|Publish local developer testing notes|Share with Zeyad Jimmy and Youssef","Day 1: Setup + Contracts + Mocks","None — can be done in parallel","[ ] Security error response shape is documented|[ ] Protected route categories are listed|[ ] Local developer testing guidance is available|[ ] No team member is blocked by unclear auth behavior","Modules: server/src/index.ts, server/src/middleware/*. Avoid changing feature contracts while defining security behavior."
T-004,Prepare frontend fixture adapters for unstable APIs,"Set up local mock and fixture support so frontend bug-fix and gamification UI work can proceed even if backend routes are incomplete or unstable.",Jimmy,2,To Do,04/23/2026,04/23/2026,Frontend Bug Fixes,"frontend,mock-required,day-1,fixtures","Create fixture payloads for enrollments progress streaks gamification and AI|Add helper to switch between live and fixture data|Validate fixture rendering on student pages|Document how to toggle fixture mode|Flag contract mismatches immediately","Day 1: Setup + Contracts + Mocks","Depends on T-001 and T-002 contracts when available; otherwise use current best-known shapes and update later","[ ] Student courses page renders from fixture data|[ ] Student dashboard renders from fixture data|[ ] Student gamification page renders from fixture data|[ ] Fixture mode can be enabled without editing multiple files","Files: client/src/pages/* and lightweight mock helpers under client/src. Do not edit gamification-owned components without Mohamed’s contract signoff."
T-005,Define AI orchestration contract and stub executor,"Freeze the request and response schema for the AI workflow orchestrator and provide a deterministic stub implementation so UI and integration work can continue before live AI logic is complete.",Youssef,2,To Do,04/23/2026,04/23/2026,AI Features,"ai,contract,day-1,mock-required","Define orchestration request payload|Define orchestration response with fallback and trace|Create sample request and response JSON|Define deterministic stub outputs|Share contract with Jimmy and Mohamed","Day 1: Setup + Contracts + Mocks","None — can be done in parallel","[ ] AI orchestration request schema is documented|[ ] AI orchestration response schema is documented|[ ] Stub responses exist for success and fallback scenarios|[ ] Frontend can build against the stub without waiting for AI backend completion","Target API: POST /api/ai-orchestra/execute. Constraint: one stable schema only and no midweek contract drift."
T-006,Fix student courses page data parsing and rendering stability,"Fix the student courses page so it correctly renders paginated enrollment responses and never silently displays an empty list for valid data.",Jimmy,2,To Do,04/24/2026,04/25/2026,Frontend Bug Fixes,"frontend,student,day-2-3,bugfix","Audit current parsing logic|Support paginated data response shape|Add explicit error and empty-state UI|Validate with fixture and live responses|Record before and after screenshots","Day 2–3: Core Implementation","None — can be done in parallel with live backend fixes using fixtures","[ ] Courses render correctly when API returns paginated data|[ ] Real empty enrollment state shows intentional messaging|[ ] API error shows intentional error state|[ ] No silent blank list remains on the page","Files: client/src/pages/student-courses.tsx and any shared student hooks if needed. If live route remains unstable, keep fixture adapter until Zeyad confirms contract."
T-007,Fix student dashboard data aggregation and fallback states,"Stabilize student dashboard rendering across enrollments, progress, and streak responses so the page remains usable even when one source is empty or temporarily unavailable.",Jimmy,2,To Do,04/24/2026,04/25/2026,Frontend Bug Fixes,"frontend,student,day-2-3,dashboard","Audit current dashboard fetch and parsing logic|Normalize response handling|Add empty loading and partial-data states|Validate widgets with live and fixture payloads|Document remaining backend mismatches","Day 2–3: Core Implementation","None — can be done in parallel with fixtures","[ ] Dashboard loads with full data when all endpoints succeed|[ ] Dashboard still renders partial UI when one endpoint fails|[ ] Empty state messaging is clear and intentional|[ ] No silent render failures remain","Files: client/src/pages/student-dashboard.tsx, client/src/hooks/useStudentDashboard.ts. APIs: enrollments progress streak routes."
T-008,Normalize student and teacher API route shapes,"Fix backend route inconsistencies causing frontend bugs, especially array versus object drift, missing wrappers, and incompatible empty-state behavior.",Zeyad,2,To Do,04/24/2026,04/25/2026,Backend Bug Fixes,"backend,api,day-2-3,bugfix","Identify top impacted routes|Normalize response wrappers and pagination metadata|Ensure status codes and error payloads are consistent|Verify affected consumers|Publish route changelog","Day 2–3: Core Implementation","None — can be done in parallel","[ ] Targeted routes return consistent documented shapes|[ ] Empty responses are explicit and predictable|[ ] Error responses use standard structure|[ ] Frontend consumers can parse routes without custom hacks per page","Files: selected server/src/api/*.ts excluding gamification and security-owned routes. Do not change gamification or security routes without coordination."
T-009,Complete persistent lesson completion event flow,"Ensure lesson completion is durably recorded in the database and survives refresh even when points are disabled. This is the critical path for making gamification reliable.",Mohamed,2,To Do,04/24/2026,04/25/2026,Gamification System,"gamification,backend,day-2-3,critical-path","Audit lesson completion endpoint to event persistence|Ensure completion event is written even when points are zero|Verify activity endpoint restores completed lessons|Validate course completion behavior on last lesson|Document event persistence rules","Day 2–3: Core Implementation","None — can be done in parallel","[ ] Completing a lesson creates a durable completion record|[ ] Refreshing the lesson viewer shows completed lessons correctly|[ ] Duplicate completion remains idempotent|[ ] Course completion fires only under valid final-lesson conditions","Files: lesson completion route, gamification service, activity route, lesson viewer consumer. Completion persistence must not depend solely on points being enabled."
T-010,Complete student gamification profile refresh behavior,"Make the student gamification experience update immediately after completions and load correctly from persisted state on revisit.",Mohamed,2,To Do,04/24/2026,04/25/2026,Gamification System,"gamification,frontend,day-2-3,student","Review query invalidation and refresh behavior|Ensure profile badges and activity feed update|Validate empty disabled and active states|Verify route mounting and auth behavior|Produce UI verification checklist","Day 2–3: Core Implementation","Depends on T-009 preferred but can be mocked in parallel","[ ] Student gamification page updates after completion actions|[ ] Refreshing the page shows persisted state|[ ] Empty and disabled states are accurate|[ ] No endpoint returns 404 for mounted gamification routes","Files: gamification pages hooks components and route mounting. Use shared gamification types as source of truth."
